Parada origen;Parada destino;Total (min);En autobús (min);A pie (min);Esperas (min);Veh. usados;Uso de línea ortogonal?;Uso de V+H?;Espera por vehículo;Lineas
2259;276;97,66015225723552;68,620007764;15,154058919995123;13,886085573240408;2;0;0;6,943042786620204;['7', '67']
38;3236;28,050511880439032;19,308273888533332;5,431105679999922;3,311132311905777;1;1;0;3,311132311905777;['H12']
88;497;97,58245620364663;82,34143543795554;0;15,241020765691093;3;1;0;5,0803402552303645;['63', 'H4', '27']
2812;1197;93,87140434916856;51,10794219573332;25,186641480006642;17,576820673428596;4;1;0;4,394205168357149;['46', 'V3', '67', '68']
9808;1645;86,00479344649749;66,99339798657778;15,155540399995989;3,8558550599237185;2;1;0;1,9279275299618592;['D40', '109']
1671;2261;77,87001323331224;66,12400776373335;3,5362927600021674;8,20971270957673;3;1;1;2,736570903192243;['V3', '70', 'H4']
244;989;27,72546517608295;20,433246786400005;4,585180600002735;2,707037789680209;2;1;0;1,3535188948401045;['X1', 'V11']
2689;1597;57,37670002623298;37,15082042915556;14,383689320003903;5,842190277073522;2;1;0;2,921095138536761;['7', 'V25']
1306;1281;27,376497221978145;18,594361173155555;3,6014778800001057;5,180658168822481;2;1;0;2,5903290844112403;['V21', 'V27']
3718;1466;35,68577037612316;17,14121759875555;11,909617720002167;6,634935057365442;2;1;0;3,317467528682721;['V3', '54']
2800;1699;58,61758005079527;41,265003582755554;10,302211919988675;7,05036454805104;3;1;0;2,3501215160170132;['22', 'X1', 'H12']
1652;1955;59,07622582607081;34,39786552862222;19,459239799996226;5,2191204974523675;1;0;0;5,2191204974523675;['165']
1305;2348;21,251693583103936;16,170736540444445;0;5,08095704265949;1;0;0;5,08095704265949;['19']
1006;3648;32,37320247944217;16,32969998648889;13,881467599998174;2,162034892955104;1;1;0;2,162034892955104;['D20']
666;9143;62,00404141349701;32,10676022097778;17,226649439999957;12,670631752519274;4;1;0;3,1676579381298184;['V33', 'V33', '60', 'D50']
329;621;17,378515194593543;12,973483398133332;1,325924599991911;3,0791071964683008;1;1;0;3,0791071964683008;['H10']
1569;2750;66,31536942159462;40,34962939573333;17,46072327999649;8,505016745864808;2;1;0;4,252508372932404;['H12', '7']
1764;3361;92,72770093783171;69,42563957671109;9,816286479998382;13,485774881122232;2;1;0;6,742887440561116;['H16', '65']
610;1217;26,512997308885204;8,447558612800002;15,885910039992822;2,179528656092381;1;1;0;2,179528656092381;['H6']
1610;3604;119,84628813143868;107,9329129968;0,7718510800019658;11,14152405463673;4;1;1;2,7853810136591823;['21', 'V3', 'H6', 'D50']
1020;3174;36,5295649587932;31,174267111822214;3,1525894399945997;2,202708406976388;1;1;0;2,202708406976388;['H4']
324;1011;46,32905095858343;20,842745184888887;19,216277080001085;6,27002869369346;3;1;0;2,0900095645644865;['157', 'D20', 'V3']
2700;1052;87,62911498384842;66,49326778631111;3,882959080001944;17,25288811753537;4;0;0;4,313222029383843;['136', '6', '67', '157']
258;3182;56,20826278043542;38,392183859555544;2,605923320003056;15,210155600876815;1;0;0;15,210155600876815;['96']
3831;147;66,56537122053888;47,319805464266665;12,097765680001489;7,147800076270732;2;0;0;3,573900038135366;['67', '34']
721;522;49,179410412876656;27,912419129955552;11,010359359994233;10,256631922926871;2;1;0;5,128315961463436;['D20', 'V9']
3438;92;28,648819689603535;19,108136171822228;3,026663639997393;6,514019877783916;2;1;0;3,257009938891958;['D20', 'H12']
3830;3747;57,544099842263016;34,31444075404445;14,014800799991807;9,214858288226763;2;0;0;4,6074291441133814;['68', '157']
973;2388;51,596567673935866;40,74382941608889;7,299251959996571;3,553486297850399;1;1;0;3,553486297850399;['H4']
1373;817;71,13566795988419;56,75787730622223;9,727397679995168;4,650392973666792;2;1;0;2,325196486833396;['H8', 'D50']
110;594;104,78401830219087;86,13782905484443;7,992584599992164;10,65360464735427;3;1;0;3,55120154911809;['H10', '62', '96']
358;1707;110,16889377886535;91,71534093617774;9,708138439999047;8,74541440268856;3;1;0;2,91513813422952;['68', 'H4', '76']
995;1174;46,65455748526655;34,80711270248888;2,001479479994888;9,845965302782778;2;1;0;4,922982651391389;['H4', '27']
2282;2188;107,29868961647827;93,00360818337776;3,811848039999248;10,483233393101244;5;1;1;2,0966466786202487;['D50', 'H6', 'V3', '46', '79']
1636;2716;41,720254329981046;24,219590224711112;13,16294980000827;4,337714305261665;1;0;0;4,337714305261665;['67']
877;1921;103,46865922215198;69,28512897475555;26,759973239996285;7,423557007400148;3;1;0;2,474519002466716;['H4', 'H2', '63']
821;385;96,96964143052347;81,25067371991112;0;15,71896771061235;2;1;0;7,859483855306175;['65', 'H12']
1578;3337;65,3211272428854;50,839493933777774;1,8311092800006818;12,65052402910694;3;1;0;4,216841343035647;['54', '7', 'H14']
847;1425;15,272598126188182;12,253983109688889;1,8948129199951105;1,1238020965041826;1;0;0;1,1238020965041826;['22']
1576;3189;42,62199871760543;23,52010070177778;12,721468760006431;6,380429255821218;2;1;0;3,190214627910609;['70', 'V13']
584;705;48,74937274264736;33,20326801893334;11,220729519997981;4,325375203716038;1;1;0;4,325375203716038;['H10']
413;610;46,86222501110744;39,49324568444443;1,5244429200097895;5,844536406653212;2;1;0;2,922268203326606;['59', 'V13']
477;354;69,12358544009535;54,3384933832;11,171840680004298;3,6132513768910473;2;1;0;1,8066256884455236;['H2', '68']
380;526;24,3116358336512;12,164580830933332;4,939254319998279;7,207800682719586;1;1;0;7,207800682719586;['V9']
1610;3190;85,00187701250492;65,82922709111111;4,229625400009624;14,943024521384192;3;1;1;4,981008173794731;['109', 'H12', 'V25']
3546;1448;63,392410189469814;40,963307944622215;13,995541559997015;8,433560684850578;2;1;1;4,216780342425289;['V3', 'H6']
1490;1908;27,811649812398446;13,211372191111115;12,903690800006899;1,696586821280432;1;0;0;1,696586821280432;['34']
250;897;40,7572763230763;32,58352631466666;3,3362929600005424;4,837457048409088;2;1;0;2,418728524204544;['H6', '24']
7;1441;49,34799898962866;44,0524512616;3,1288857600037896;2,1666619680248678;2;1;1;1,0833309840124339;['V13', 'H4']
267;1316;10,801470679997932;0;10,801470679997932;0;0;0;0;0;[]
1659;231;31,646955473285463;19,143053703822222;8,388139760002712;4,1157620094605285;1;0;0;4,1157620094605285;['60']
3307;3360;77,97620747960555;23,933399154311118;42,04736535999624;11,995442965298189;2;0;0;5,997721482649094;['46', '65']
1842;3420;67,77000077324077;49,63372423199999;12,170358200001768;5,965918341239001;2;1;1;2,9829591706195004;['H10', 'V33']
1620;9803;33,183852631146365;15,523006318488887;16,629613000005982;1,0312333126514965;1;1;0;1,0312333126514965;['H12']
337;3802;32,97990378949566;21,979988509422217;7,521473959998679;3,4784413200747615;1;0;0;3,4784413200747615;['34']
1430;3781;29,887220594302935;21,776308404799998;2,7318491199923702;5,379063069510567;1;1;0;5,379063069510567;['V25']
3268;716;43,900419842625084;29,661066435555558;12,173321160002835;2,0660322470666914;1;0;0;2,0660322470666914;['33']
3462;392;58,33588543665585;31,09663494711111;3,764440679996568;23,474809809548173;2;0;0;11,737404904774086;['79', '65']
704;921;32,98508795295701;23,82624088115556;3,374811440001317;5,7840356318001325;1;1;0;5,7840356318001325;['H4']
3252;226;37,054411572299024;8,026059867466667;25,474048599996813;3,5543031048355433;2;0;0;1,7771515524177717;['52', 'X1']
380;1305;38,046069355161244;29,89434333235556;4,64888424000835;3,502841782797333;2;1;1;1,7514208913986664;['V9', 'H8']
1111;3592;45,696316185233144;31,821311983022216;9,999990000003011;3,875014202207918;1;1;0;3,875014202207918;['H12']
51;349;70,13585659961996;41,3990460168;23,303680399987535;5,433130182832422;2;0;0;2,716565091416211;['27', '109']
546;564;42,265458358520505;21,80954196346667;12,357024680005487;8,098891715048346;2;1;0;4,049445857524173;['D40', 'V13']
252;1066;24,720223002590643;11,558562470222224;10,079989919996427;3,081670612371991;2;1;0;1,5408353061859954;['V13', '24']
2532;310;17,822994106827434;10,460057039555556;2,7051824800123256;4,657754587259552;2;0;0;2,328877293629776;['70', '7']
3528;442;33,2123357903465;19,588253177155554;6,391104720003845;7,232977893187101;2;1;1;3,6164889465935506;['V5', 'H12']
520;3373;53,31529584720626;34,930979254666674;5,7644386800096745;12,619877912529917;3;1;0;4,206625970843306;['63', '175', 'V1']
1531;2985;52,353526313707306;43,341429161777775;4,407403000004862;4,604694151924673;2;1;0;2,3023470759623366;['H4', 'H2']
3474;1264;27,67293317645314;16,769576313422224;4,4074030000048605;6,495953863026055;2;1;0;3,2479769315130276;['V13', 'V11']
3777;3430;166,40024522798043;115,65268040800001;29,770340600005873;20,97722421997456;4;1;0;5,24430605499364;['96', '60', 'H2', '63']
300;1163;20,32802024052033;11,287109114755555;3,3348114800009903;5,706099645763786;2;1;1;2,853049822881893;['V23', 'H14']
824;887;45,991958268177584;30,67337700826667;6,548141599998158;8,770439659912757;2;1;0;4,3852198299563785;['V25', '7']
707;1637;31,88403922084779;19,163403849066665;8,318510200011403;4,40212517176972;2;1;0;2,20106258588486;['70', 'V7']
428;2777;33,677184022544466;27,15436146568889;0;6,522822556855577;2;1;1;3,2614112784277887;['V27', 'H6']
2966;1213;138,17021244757188;103,83866270524443;7,20888167999644;27,122668062331016;3;1;1;9,04088935411034;['H12', 'V27', '96']
1145;3537;84,01809578733697;61,36886339448888;6,0918457600041265;16,55738663284397;3;1;0;5,519128877614656;['96', '62', 'H10']
3724;727;51,540638827861414;39,45141106044444;2,3511087600009972;9,738119007415971;2;1;0;4,869059503707986;['68', 'H2']
3162;90;81,9736720809753;67,2998740839111;5,114068959988504;9,559729037075687;2;1;0;4,779864518537844;['H6', '63']
1709;2356;31,23753524651338;19,281226326133332;8,862213360009768;3,09409556037028;1;0;0;3,09409556037028;['76']
3376;3571;77,80047216137575;53,45382333164444;19,302202920003886;5,044445909727419;2;1;0;2,5222229548637096;['165', 'H16']
3620;657;69,9191894494615;42,705913523022225;16,86072388000868;10,352552046430587;3;1;1;3,4508506821435287;['27', 'V15', 'H16']
1747;1403;68,5342205017388;49,06915059324443;1,5407391999982565;17,924330708496104;2;1;0;8,962165354248052;['63', 'H2']
1619;3273;148,36537929669132;131,17177228897776;3,149626480001416;14,043980527712135;5;1;1;2,808796105542427;['109', 'H12', 'V25', '62', '96']
460;2243;51,76002575915594;43,794654991555554;0,714073359993229;7,2512974076071535;2;1;0;3,6256487038035767;['D40', 'V11']
3763;2789;67,73449845663544;47,41032834026666;8,57036179999529;11,753808316373483;2;1;0;5,876904158186742;['D40', '27']
392;1715;110,02306179483693;83,64433312888889;8,980731759998704;17,39799690594934;3;1;1;5,799332301983114;['H12', 'V27', '96']
752;1656;96,71996084274278;78,59262198115557;0;18,127338861587212;3;1;0;6,042446287195737;['H2', '63', '67']
681;1023;55,998870714977876;40,931184151911104;10,337767439996934;4,729919123069839;1;0;0;4,729919123069839;['60']
343;3174;41,27802763465066;13,367170594044442;23,164421280004248;4,746435760601972;1;1;0;4,746435760601972;['V1']
1255;1310;12,740993509205387;4,813541993688888;4,668143479997227;3,259308035519272;1;1;0;3,259308035519272;['H12']
1624;2620;29,390712604930805;12,77494626062222;13,43850507999942;3,1772612643091644;1;0;0;3,1772612643091644;['60']
168;2323;52,927757923752914;39,329073550488886;2,4503679199971025;11,148316453266924;2;0;0;5,574158226633462;['33', '62']
945;866;33,919935682196055;21,71547227057778;5,239994760002815;6,964468651615466;3;1;0;2,3214895505384887;['23', 'V7', '70']
822;3562;42,63964660271379;36,57246623226666;0,3970366399969407;5,670143730450183;2;1;0;2,8350718652250917;['6', 'H14']
3547;3587;62,16093268172476;42,23213402897777;15,90072483999818;4,028073812748811;3;1;1;1,3426912709162704;['V31', 'H10', '34']
24;3356;64,7663821170261;47,82861907217777;11,081470399986408;5,856292644861916;2;1;1;2,928146322430958;['V27', 'H14']
114;2620;22,89537233465196;8,519560836622222;11,01628528000822;3,359526218021517;1;0;0;3,359526218021517;['62']
1028;1932;13,588134559995332;0;13,588134559995332;0;0;0;0;0;[]
1210;222;17,024472234890958;8,834316781422222;0;8,190155453468735;2;1;0;4,095077726734368;['D50', 'V13']
54;2418;47,50525403376033;36,10635327342222;6,042956919999259;5,355943840338851;4;1;0;1,3389859600847127;['59', 'X1', '7', 'H14']
324;2248;39,23220131156109;31,999011024444442;3,527403880012119;3,70578640710453;2;0;0;1,852893203552265;['157', '78']
